datasetid,recordid,record_timestamp,commune,obs_gestion,section,geo_point_2d,nom_voie,mot_directeur,pole,tm,observations,code_insee,carte_velo,longueur_m,type,obs_type,revetement,eclairage,geometry_type,geometry_coordinates,geo_shape_type,geo_shape_coordinates_1,geo_shape_coordinates_2,geo_shape_coordinates_3
reseau-cyclable-et-vert,865fdc80697f8099763ff58f4d867bc35f2103a1,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Aucamville (Péage A6,"(43.6596005048, 1.42104773291)",Av Salvador Allende,ALLENDE,Nord,oui,,31555,Piste cyclable ou partagee,378,RC,piste cyclable,enrobé,,Point,"(1.42104773291, 43.6596005048)",MultiLineString,"[(1.423210066127987, 43.66022020519336), (1.420168442939754, 43.659333706705176), (1.419949182709481, 43.65930296597196), (1.419273166557945, 43.659104618855835), (1.419197110934276, 43.65908335355228), (1.419138805399238, 43.659075477565366), (1.419071943311859, 43.65907557582433), (1.418985296635921, 43.659086526832795), (1.418946029413781, 43.658977398297345)]",,
reseau-cyclable-et-vert,3e37ea8d87ac45146b7229036ca32cf854452078,2021-10-06 00:01:14.899+02:00,Pin-Balma,TM,,"(43.6248513738, 1.5339448383)",,,Est,oui,,31418,Piste cyclable ou partagee,426,RC,piste cyclable,,,Point,"(1.5339448383, 43.6248513738)",MultiLineString,"[(1.532517743060821, 43.62644199733716), (1.532503028235277, 43.62626787551218), (1.532679471309726, 43.62607100413829), (1.533088960875307, 43.62568141024463), (1.533511870412408, 43.62525765646715), (1.533560077757672, 43.62521821564346), (1.534232895562591, 43.62455503400298), (1.534711970295295, 43.62408735893957), (1.5348378283862312, 43.623963079030396), (1.535023398769694, 43.62377890649405), (1.535138814727016, 43.62369568941983), (1.535233069831396, 43.623640811084904), (1.535328848076998, 43.623588242103885), (1.535391332412523, 43.62354440469184), (1.535421716773476, 43.62352533597899), (1.535443234128373, 43.62348212472061), (1.535434825232405, 43.62343853442469), (1.535391369528503, 43.62341166545023), (1.535349346200464, 43.62339053454269), (1.535341829180171, 43.62337556424135)]",,
reseau-cyclable-et-vert,c52269f185ae3a21a72b34f57ec441a2ac9bb21f,2021-10-06 00:01:14.899+02:00,Toulouse,TM,rostand - neboul,"(43.639337197, 1.4482318589799998)",rue rostand,ROSTAND,Nord,oui,,31555,Piste cyclable ou partagee,54,RC,voie verte,enrobe,,Point,"(1.4482318589799998, 43.639337197)",MultiLineString,"[(1.447922990782613, 43.639432698720725), (1.448540727184262, 43.63924169528407)]",,
reseau-cyclable-et-vert,1b082c03195f747f30f97f918081d96a5b096412,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Du Bellay - Abadie,"(43.5864366213, 1.4061947639499999)",rte de St Simon,SAINT SIMON,Centre,oui,2014,31555,bande cyclable ou couloir bus,174,RC,bande cyclable,,,Point,"(1.4061947639499999, 43.5864366213)",MultiLineString,"[(1.407139348277383, 43.58681426589729), (1.405250179615508, 43.58605897668875)]",,
reseau-cyclable-et-vert,f5df4d2358377711b6338bd0d74b8d43dfa1e29c,2021-10-06 00:01:14.899+02:00,Toulouse,TM,traversee echangeur,"(43.5729092328, 1.49372835053)",Echangeur REVEL,REVEL,Est,oui,2011,31555,Piste cyclable ou partagee,95,RC,piste cyclable,,,Point,"(1.49372835053, 43.5729092328)",MultiLineString,"[(1.493194560881872, 43.573083429656556), (1.4942621401788, 43.572735035960164)]",,
reseau-cyclable-et-vert,a9181297542e5afbbf46070a50aaff2146857e58,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Patte d'oie - cartoucherie,"(43.5995453572, 1.4161427364199999)",Av de Grande Bretagne,GRANDE BRETAGNE,Centre,oui,0,31555,bande cyclable ou couloir bus,727,RC,bande cyclable,,,Point,"(1.4161427364199999, 43.5995453572)",MultiLineString,"[(1.419985247941189, 43.597841397147285), (1.4123002248911, 43.6012493172245)]",,
reseau-cyclable-et-vert,4992acea3b7b07f203d07b24f21f3a6fc79ad5fe,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Sendler - Seyrig,"(43.6522618641, 1.4403925604599999)",RUE IRENA SENDLER,LIAISON IZARDS - LAU,Nord,oui,2011,31555,Piste cyclable ou partagee,172,RC,piste cyclable,,,Point,"(1.4403925604599999, 43.6522618641)",MultiLineString,"[(1.43954144772953, 43.65255817862241), (1.4402235258531841, 43.65251910891284), (1.441130575321862, 43.6516958752054)]",,
reseau-cyclable-et-vert,bd12bab34e5f37f6f4e88611c32452f5453aa6ba,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Cartoucherie - Garon,"(43.6057939622, 1.41442147945)",Bourrassol,BOURRASSOL,Centre,oui,,31555,Piste cyclable ou partagee,264,RC,piste cyclable,,,Point,"(1.41442147945, 43.6057939622)",MultiLineString,"[(1.414090556956475, 43.60658655929713), (1.414637545030655, 43.60622910312957), (1.414768468123545, 43.60612761766214), (1.414099660520355, 43.605797265326835), (1.414073249703611, 43.6057710606852), (1.414060275324473, 43.605748733167374), (1.4140558112330641, 43.60572529087793), (1.414054879182062, 43.60569574480379), (1.41406740091481, 43.60567007429668), (1.414796578452814, 43.60491465925352), (1.414757169969029, 43.60486735852557)]",,
reseau-cyclable-et-vert,df6b7b978e57e77244aa753949b1a7cc7788bf30,2021-10-06 00:01:14.899+02:00,Toulouse,TM,,"(43.6403830534, 1.44768266307)",,BORDEROUGE,Nord,oui,,31555,Piste cyclable ou partagee,160,RC,voie verte,,,Point,"(1.44768266307, 43.6403830534)",MultiLineString,"[(1.447394869914802, 43.63969408039937), (1.4479704562304931, 43.641072026432795)]",,
reseau-cyclable-et-vert,3ab557b8a3ec788c76690866b5b82c61bf64108f,2021-10-06 00:01:14.899+02:00,Toulouse,TM,deltour - st expedit,"(43.5962132288, 1.47416258043)",che lafilaire,LAFILAIRE,Est,oui,2015,31555,Bande cyclable ou couloir bus,143,RC,bande a contresens,,,Point,"(1.47416258043, 43.5962132288)",MultiLineString,"[(1.473279460014448, 43.59615301488014), (1.474162666196541, 43.59620232219384), (1.475043954675509, 43.596295129024064)]",,
